CONTROL_JOB_NO,REGION_NAME,BUSINESS_UNIT,OFFICE_NAME,CITY,STATE,CORE_MARKET,MARKET_SECTOR,PROJECT_TYPE,TOTAL_CONTROL_ESTIMATE,BUILDING_SIZE
PROJECT_0231,Central,Austin,Austin,Spicewood,TX,Corporate & Workplace,CW-Hospitality,Hotel / Convention Center,166933980.0,248000.0
PROJECT_0312,Northeast,DC - Baltimore,Washington DC,Reston,VA,Advanced Systems & Innovation,ASI-Developer,Mission Critical,14521207.0,25000.0
PROJECT_0507,Northeast,New Jersey,New Jersey,Branchburg,NJ,Advanced Systems & Innovation,,Mission Critical,0.0,10000.0
PROJECT_0451,Southeast,Central Florida,Orlando,Orlando,FL,Other,,Sports and Athletics,8550192.0,44000.0
PROJECT_0443,Southeast,Central Florida,Tampa,Tampa,FL,Academic Institutions,,Education/Classroom Space,20161.0,3000.0
PROJECT_0467,Southeast,Charlotte-Greenville,Charlotte,Forest City,NC,Advanced Systems & Innovation,,Mission Critical,0.0,175000.0
PROJECT_0309,Northeast,DC - Baltimore,Washington DC,Ashburn,VA,Advanced Systems & Innovation,,Mission Critical,20641034.0,13.0
PROJECT_0238,Central,Austin,Austin,Houston,TX,Biomedical Facilities,BF-Biotech/Pharmaceutical,Biopharm Manufacturing,2842922.0,1200.0
PROJECT_0012,Northwest,Bay Area,Silicon Valley,,,Clinical Infrastructure,,Hospitals,83792.0,0.0
PROJECT_0489,Southeast,Nashville,Nashville,Nashville,TN,Clinical Infrastructure,,R&amp;D Building (Laboratories),1489008.0,5800.0
PROJECT_0282,Central,Dallas FTW,Dallas FTW,Dallas,TX,Corporate & Workplace,CW-Finance/Banking/Insurance,Other,2053346.0,2600.0
PROJECT_0382,Southeast,Atlanta,Atlanta,Social Circle,GA,Advanced Systems & Innovation,ASI-Enterprise Technologies,Mission Critical,85938654.12,405000.0
PROJECT_0252,Central,Houston,Houston,Cypress,TX,Clinical Infrastructure,,Hospitals,1777205.0,128117.0
PROJECT_0045,Northwest,Bay Area,Silicon Valley,San Mateo,WA,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,178809.0,4000.0
PROJECT_0089,Southwest,San Diego,San Diego,CA,CA,Clinical Infrastructure,CI-Healthcare Provider,Office,3380592.0,156000.0
PROJECT_0131,Southwest,SoCal,Newport Beach,Thousand Oaks,CA,Biomedical Facilities,BF-Biotech/Pharmaceutical,R&amp;D Building (Laboratories),204540.0,500.0
PROJECT_0335,Northeast,Richmond,Richmond,Charlottesville,VA,Academic Institutions,AI-Public,Other,0.0,18800.0
PROJECT_0383,Southeast,Atlanta,Atlanta,Atlanta,GA,Corporate & Workplace,,Office,758753.0,55000.0
PROJECT_0196,Southwest,Arizona,Phoenix,Goodyear,AZ,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,3190873.0,8071.0
PROJECT_0322,Northeast,DC - Baltimore,Washington DC,Sterling,VA,Advanced Systems & Innovation,ASI-Developer,Mission Critical,0.0,32.0
PROJECT_0503,Northeast,New Jersey,New Jersey,Branchburg,NJ,Biomedical Facilities,,Other,1226505.0,12000.0
PROJECT_0324,Northeast,DC - Baltimore,Washington DC,Ashburn,VA,Advanced Systems & Innovation,,Mission Critical,7872938.0,
PROJECT_0439,Southeast,Central Florida,Tampa,Tampa,FL,Academic Institutions,,Education/Classroom Space,607391.0,
PROJECT_0430,Southeast,Raleigh-Durham,Raleigh-Durham,Durham,NC,Biomedical Facilities,,Biopharm Manufacturing,0.0,300000.0
PROJECT_0148,Southwest,SoCal,Newport Beach,Claremont,CA,Clinical Infrastructure,,Residential Care Facility,197288.0,1000.0
PROJECT_0565,,,Denver (D8-B),Westminster,CO,Clinical Infrastructure,CI-Healthcare Provider,Outpatient Healthcare,250934.0,168000.0
PROJECT_0500,Northeast,New Jersey,New Jersey,Levittown,PA,Corporate & Workplace,CW-Finance/Banking/Insurance,Mission Critical,15523352.49,20000.0
PROJECT_0145,Southwest,SoCal,Newport Beach,Long Beach,CA,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,0.0,185000.0
PROJECT_0318,Northeast,DC - Baltimore,Washington DC,,,Academic Institutions,,Education/Classroom Space,129773.0,20000.0
PROJECT_0201,Southwest,Arizona,Phoenix,Mesa,AZ,Advanced Systems & Innovation,ASI-Enterprise Technologies,Mission Critical,24341081.0,135000.0
PROJECT_0272,Central,Dallas FTW,Dallas FTW,Fort Worth,TX,Clinical Infrastructure,,Hospitals,1678961.0,104000.0
PROJECT_0080,Northwest,Sacramento,Sacramento,Vacaville,CA,Clinical Infrastructure,,Hospitals,1200.0,10000.0
PROJECT_0351,Northeast,DC - Baltimore,Baltimore,Baltimore,MD,Clinical Infrastructure,,Hospitals,0.0,76380.0
PROJECT_0022,Northwest,Bay Area,Silicon Valley,Mountain View,CA,Clinical Infrastructure,CI-Healthcare Provider,Outpatient Healthcare,20239.0,770.0
PROJECT_0166,Southwest,SoCal,Newport Beach,Long Beach,CA,Clinical Infrastructure,,Hospitals,232776.0,3400.0
PROJECT_0331,Northeast,DC - Baltimore,Washington DC,Washington DC,DC,Corporate & Workplace,,Office,0.0,55671.0
PROJECT_0436,Southeast,Central Florida,Tampa,Tampa,FL,Biomedical Facilities,,R&amp;D Building (Laboratories),2100960.0,50000.0
PROJECT_0078,Northwest,Sacramento,Sacramento,Sacramento,CA,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,4447445.0,40000.0
PROJECT_0269,Central,Dallas FTW,Dallas FTW,Dallas,TX,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,0.0,8400.0
PROJECT_0379,Southeast,Atlanta,Atlanta,,,Academic Institutions,AI-Public,Education/Classroom Space,0.0,
PROJECT_0421,Southeast,Raleigh-Durham,Raleigh-Durham,Durham,NC,Biomedical Facilities,BF-Biotech/Pharmaceutical,Warehouse / Distribution,0.0,
PROJECT_0170,Southwest,Arizona,Phoenix,,,Advanced Systems & Innovation,,Mission Critical,8294492.0,500000.0
PROJECT_0429,Southeast,Raleigh-Durham,Raleigh-Durham,Durham,NC,Advanced Systems & Innovation,ASI-Developer,Mission Critical,5078131.0,
PROJECT_0326,Northeast,DC - Baltimore,Washington DC,Reston,VA,Advanced Systems & Innovation,ASI-Developer,Mission Critical,6935594.0,2.0
PROJECT_0147,Southwest,SoCal,Newport Beach,Thousand Oaks,CA,Biomedical Facilities,BF-Biotech/Pharmaceutical,Other,346754.0,
PROJECT_0249,Central,Austin,Austin,Austin,TX,Clinical Infrastructure,,Hospitals,583340.0,715.0
PROJECT_0357,Northeast,DC - Baltimore,Baltimore,Rockville,MD,Biomedical Facilities,BF-Biotech/Pharmaceutical,Office,4024354.0,14000.0
PROJECT_0373,Southeast,Atlanta,Atlanta,Atlanta,GA,Academic Institutions,,Education/Classroom Space,0.0,107902.0
PROJECT_0435,Southeast,Central Florida,Tampa,Tampa,FL,Academic Institutions,AI-Public,Other,3601499.0,7000.0
PROJECT_0509,Northeast,New Jersey,New Jersey,Secaucus,NJ,Advanced Systems & Innovation,ASI-Developer,Mission Critical,3737844.0,2000.0
PROJECT_0048,Northwest,Bay Area,Silicon Valley,Santa Clara,CA,Advanced Systems & Innovation,ASI-Developer,Mission Critical,0.0,10000.0
PROJECT_0254,Central,Houston,Houston,Abilene,TX,Advanced Systems & Innovation,,Mission Critical,3022429.0,450000.0
PROJECT_0363,Northeast,DC - Baltimore,Baltimore,Columbia,MD,Clinical Infrastructure,,Outpatient Healthcare,615312.0,5500.0
PROJECT_0288,Central,Dallas FTW,Dallas FTW,Plano,TX,Advanced Systems & Innovation,,Mission Critical,242934.0,40000.0
PROJECT_0347,Northeast,Richmond,Richmond,Richmond,VA,Corporate & Workplace,CW-3rd Party CMs,Mission Critical,21666895.43,10000.0
PROJECT_0358,Northeast,DC - Baltimore,Baltimore,Baltimore,MD,Biomedical Facilities,,Office,1500.0,2073.0
PROJECT_0367,Northeast,DC - Baltimore,Baltimore,Glen Burnie,MD,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,243745.0,650.0
PROJECT_0562,,,Denver (D8-B),Denver,CO,Clinical Infrastructure,CI-Healthcare Provider,Office,2520740.28,5000.0
PROJECT_0329,Northeast,DC - Baltimore,Washington DC,,,Corporate & Workplace,,Office,1633635.45,19147.0
PROJECT_0566,,,,,,Corporate & Workplace,,Office,0.0,16700.0
PROJECT_0141,Southwest,SoCal,Newport Beach,Walnut,CA,Other,OTH-Public-State & Municipal Agencies,Office,17844568.0,22000.0
PROJECT_0383,Southeast,Atlanta,Atlanta,Atlanta,GA,Corporate & Workplace,CW-Developer,Office,65213.0,55000.0
PROJECT_0543,Northwest,Pacific Northwest,Seattle,Seattle,WA,Corporate & Workplace,CW-Developer,R&amp;D Building (Laboratories),4030550.0,26187.0
PROJECT_0092,Southwest,San Diego,San Diego,San Diego,CA,Biomedical Facilities,BF-Biotech/Pharmaceutical,R&amp;D Building (Laboratories),5926.0,165000.0
PROJECT_0074,Northwest,Sacramento,Sacramento,Modesto,CA,Clinical Infrastructure,CI-Healthcare Provider,Outpatient Healthcare,37689499.0,182200.0
PROJECT_0010,Northwest,Bay Area,Silicon Valley,Castro Valley,CA,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,198296.0,1000.0
PROJECT_0329,Northeast,DC - Baltimore,Washington DC,Washington,DC,Corporate & Workplace,,Office,0.0,19147.0
PROJECT_0043,Northwest,Bay Area,Silicon Valley,,,Clinical Infrastructure,,Outpatient Healthcare,63675.0,2610.0
PROJECT_0534,Northeast,Boston,Boston,,,Clinical Infrastructure,,Other,60257.0,30000.0
PROJECT_0504,Northeast,New Jersey,New Jersey,Secaucus,NJ,Advanced Systems & Innovation,,Mission Critical,1864235.0,10000.0
PROJECT_0266,Central,Dallas FTW,Dallas FTW,Plano,TX,Clinical Infrastructure,,Hospitals,2589681.77,34003.0
PROJECT_0095,Southwest,San Diego,San Diego,San Diego,CA,Biomedical Facilities,,R&amp;D Building (Laboratories),0.0,2000.0
PROJECT_0423,Southeast,Raleigh-Durham,Raleigh-Durham,Wilson,NC,Biomedical Facilities,,Biopharm Manufacturing,771782.0,
PROJECT_0290,Central,Dallas FTW,Dallas FTW,Midlothian,TX,Advanced Systems & Innovation,,Mission Critical,64495681.39,
PROJECT_0293,Central,Dallas FTW,Dallas FTW,Irving,TX,Clinical Infrastructure,,Hospitals,1281226.0,15700.0
PROJECT_0392,Southeast,South Florida,South Florida,Boynton Beach,FL,Clinical Infrastructure,,Hospitals,2160470.03,1225.0
PROJECT_0201,Southwest,Arizona,Phoenix,Mesa,AZ,Advanced Systems & Innovation,,Mission Critical,45658919.0,135000.0
PROJECT_0372,Southeast,Atlanta,Atlanta,Atlanta,GA,Academic Institutions,,Education/Classroom Space,0.44,64700.0
PROJECT_0033,Northwest,Bay Area,Silicon Valley,South San Francisco,CA,Biomedical Facilities,,R&amp;D Building (Laboratories),14022.0,600.0
PROJECT_0420,Southeast,Raleigh-Durham,Raleigh-Durham,Durham,NC,Academic Institutions,,Education/Classroom Space,0.0,51000.0
PROJECT_0333,Northeast,Richmond,Richmond,Sandston,VA,Advanced Systems & Innovation,ASI-Internet & Telecom,Mission Critical,694437302.0,960000.0
PROJECT_0024,Northwest,Bay Area,Silicon Valley,Santa Clara,CA,Clinical Infrastructure,CI-Healthcare Provider,Outpatient Healthcare,145955066.0,311680.0
PROJECT_0007,Northwest,Bay Area,Silicon Valley,South San Francisco,CA,Biomedical Facilities,,R&amp;D Building (Laboratories),50658.0,2500.0
PROJECT_0162,Southwest,SoCal,Newport Beach,San Marino,CA,Other,OTH-Cultural & Community,Other,1604903.0,3900.0
PROJECT_0162,Southwest,SoCal,Newport Beach,San Marino,CA,Other,,Other,313097.0,3900.0
PROJECT_0087,Southwest,San Diego,San Diego,San Diego,CA,Biomedical Facilities,BF-Biotech/Pharmaceutical,R&amp;D Building (Laboratories),2151974.68,249000.0
PROJECT_0537,Northwest,Pacific Northwest,Seattle,Quincy,WA,Advanced Systems & Innovation,,Mission Critical,20732198.0,200000.0
PROJECT_0099,Southwest,San Diego,San Diego,San Diego,CA,Biomedical Facilities,,R&amp;D Building (Laboratories),565000.0,450000.0
PROJECT_0305,Northeast,DC - Baltimore,Washington DC,Ashburn,VA,Advanced Systems & Innovation,,Mission Critical,15650547.0,262256.0
PROJECT_0043,Northwest,Bay Area,Silicon Valley,San Jose,CA,Clinical Infrastructure,CI-Healthcare Provider,Outpatient Healthcare,0.0,2610.0
PROJECT_0170,Southwest,Arizona,Phoenix,Goodyear,AZ,Advanced Systems & Innovation,,Mission Critical,0.0,500000.0
PROJECT_0130,Southwest,SoCal,Newport Beach,Irvine,CA,Corporate & Workplace,OTH-Other,Mission Critical,12590164.76,45000.0
PROJECT_0469,Southeast,Charlotte-Greenville,Charlotte,Forest City,NC,Advanced Systems & Innovation,ASI-Internet & Telecom,Mission Critical,2449645.0,875000.0
PROJECT_0437,Southeast,Central Florida,Tampa,Tampa,FL,Corporate & Workplace,,Office,15965499.0,189000.0
PROJECT_0558,,,,Parker,CO,Clinical Infrastructure,,Hospitals,148347022.0,188000.0
PROJECT_0106,Southwest,San Diego,San Diego,San Diego,CA,Corporate & Workplace,CW-3rd Party CMs,Retail,6037353.0,24000.0
PROJECT_0226,Central,Austin,Austin,,,Clinical Infrastructure,,Hospitals,610371.0,113500.0
PROJECT_0490,Southeast,Nashville,Nashville,Nashville,TN,Advanced Systems & Innovation,ASI-Developer,Mission Critical,55487650.0,102500.0
PROJECT_0082,Southwest,San Diego,San Diego,San Diego,CA,Clinical Infrastructure,CI-Healthcare Provider,Outpatient Healthcare,500000.0,640000.0
PROJECT_0250,Central,Austin,Austin,Austin,TX,Clinical Infrastructure,,Hospitals,1175254.0,11181.0
PROJECT_0456,Southeast,Central Florida,Orlando,Lake Mary,FL,Corporate & Workplace,CW-Media & Entertainment,Other,3661506.0,19500.0
PROJECT_0310,Northeast,DC - Baltimore,Washington DC,,,Clinical Infrastructure,,Hospitals,6598.2,9250.0
PROJECT_0064,Northwest,Sacramento,Sacramento,Fairfield,CA,Clinical Infrastructure,CI-Healthcare Provider,Outpatient Healthcare,1097156.0,500.0
PROJECT_0123,Southwest,San Diego,San Diego,San Diego,CA,Biomedical Facilities,,R&amp;D Building (Laboratories),0.0,500.0
PROJECT_0422,Southeast,Raleigh-Durham,Raleigh-Durham,Clayton,NC,Biomedical Facilities,,Biopharm Manufacturing,0.0,60000.0
PROJECT_0237,Central,Austin,Austin,San Antonio,TX,Advanced Systems & Innovation,,Mission Critical,1137481.0,150000.0
PROJECT_0564,,,,Louisville,CO,Biomedical Facilities,,Biopharm Manufacturing,412235.0,7854.0
PROJECT_0442,Southeast,Central Florida,Tampa,Tampa,FL,Clinical Infrastructure,,Outpatient Healthcare,1978210.0,100000.0
PROJECT_0141,Southwest,SoCal,Newport Beach,Walnut,CA,Other,,Office,1768200.0,22000.0
PROJECT_0143,Southwest,SoCal,Newport Beach,Pasadena,CA,Clinical Infrastructure,CI-Healthcare Provider,Outpatient Healthcare,172824.0,450.0
PROJECT_0402,Southeast,South Florida,South Florida,Miami,FL,Other,OTH-Automotive/Transportation,Office,433918.0,10000.0
PROJECT_0345,Northeast,Richmond,Richmond,Sandston,VA,Advanced Systems & Innovation,,,2598620.0,53.0
PROJECT_0396,Southeast,South Florida,South Florida,Miami,FL,Advanced Systems & Innovation,ASI-Consumer/Commercial Electronics,Office,7574992.0,25769.0
PROJECT_0251,Central,Austin,Austin,Pflugerville,TX,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,157957.0,815.0
PROJECT_0013,Northwest,Bay Area,Silicon Valley,Antioch,CA,Clinical Infrastructure,,Hospitals,48004.0,0.0
PROJECT_0421,Southeast,Raleigh-Durham,Raleigh-Durham,Durham,NC,Biomedical Facilities,,Warehouse / Distribution,941046.0,
PROJECT_0232,Central,Austin,Austin,Hutto,TX,Advanced Systems & Innovation,ASI-Developer,Mission Critical,89198321.0,450000.0
PROJECT_0519,Northeast,Boston,Boston,S. Weymouth,MA,Clinical Infrastructure,,Hospitals,444568.0,10300.0
PROJECT_0305,Northeast,DC - Baltimore,Washington DC,Ashburn,VA,Advanced Systems & Innovation,ASI-Developer,Mission Critical,164066363.0,262256.0
PROJECT_0568,,,,Lakewood,CO,Clinical Infrastructure,,Outpatient Healthcare,581027.0,
PROJECT_0267,Central,Dallas FTW,Dallas FTW,Dallas,TX,Advanced Systems & Innovation,,Mission Critical,10164488.12,222213.0
PROJECT_0011,Northwest,Bay Area,Silicon Valley,San Leandro,CA,Clinical Infrastructure,,Hospitals,48004.0,0.0
PROJECT_0510,Northeast,New Jersey,New Jersey,Piscataway,NJ,Advanced Systems & Innovation,,Mission Critical,19273922.0,30.0
PROJECT_0492,Southeast,Nashville,Nashville,Springfield,TN,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,195093.0,500.0
PROJECT_0241,Central,Austin,Austin,Lakeway,TX,Clinical Infrastructure,,Hospitals,0.0,6000.0
PROJECT_0073,Northwest,Sacramento,Sacramento,Fair Oaks,CA,Other,OTH-Energy Provider,Office,2620000.0,7200.0
PROJECT_0131,Southwest,SoCal,Newport Beach,Thousand Oaks,CA,Biomedical Facilities,,R&amp;D Building (Laboratories),137784.0,500.0
PROJECT_0385,Southeast,Atlanta,Atlanta,Norcross,GA,Biomedical Facilities,BF-Medical Device,R&amp;D Building (Laboratories),630000.0,
PROJECT_0205,Southwest,Arizona,Phoenix,Phoenix,AZ,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,2503023.0,500.0
PROJECT_0093,Southwest,San Diego,San Diego,San Diego,CA,Biomedical Facilities,,Other,155000.0,7000.0
PROJECT_0350,Northeast,Richmond,Richmond,Petersburg,VA,Biomedical Facilities,,Biopharm Manufacturing,339868.0,0.0
PROJECT_0250,Central,Austin,Austin,Austin,TX,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,6828350.0,11181.0
PROJECT_0355,Northeast,DC - Baltimore,Baltimore,Baltimore,MD,Academic Institutions,,Education/Classroom Space,38755.0,11300.0
PROJECT_0356,Northeast,DC - Baltimore,Baltimore,Frederick,MD,Biomedical Facilities,,Biopharm Manufacturing,55841167.0,20000.0
PROJECT_0245,Central,Austin,Austin,Denver,CO,Advanced Systems & Innovation,,Mission Critical,8016298.0,48.0
PROJECT_0040,Northwest,Bay Area,Silicon Valley,Foster City,CA,Advanced Systems & Innovation,,Advanced Manufacturing,0.0,200000.0
PROJECT_0422,Southeast,Raleigh-Durham,Raleigh-Durham,,,Biomedical Facilities,,Biopharm Manufacturing,2462234.0,60000.0
PROJECT_0337,Northeast,Richmond,Richmond,Chester,VA,Advanced Systems & Innovation,,Mission Critical,31942857.73,150000.0
PROJECT_0267,Central,Dallas FTW,Dallas FTW,Dallas,TX,Advanced Systems & Innovation,ASI-Developer,Mission Critical,123759230.99,222213.0
PROJECT_0229,Central,Austin,Austin,Austin,TX,Clinical Infrastructure,,Hospitals,947286.0,409389.0
PROJECT_0354,Northeast,DC - Baltimore,Baltimore,Baltimore,MD,Clinical Infrastructure,,Hospitals,837274.0,25000.0
PROJECT_0550,Northwest,Pacific Northwest,Seattle,Redmond,WA,Other,,Office,216319.0,15000.0
PROJECT_0269,Central,Dallas FTW,Dallas FTW,Dallas,TX,Clinical Infrastructure,,Hospitals,150249.0,8400.0
PROJECT_0363,Northeast,DC - Baltimore,Baltimore,Columbia,MD,Clinical Infrastructure,CI-Healthcare Provider,Outpatient Healthcare,2747156.0,5500.0
PROJECT_0106,Southwest,San Diego,San Diego,San Diego,CA,Corporate & Workplace,,Retail,653325.0,24000.0
PROJECT_0401,Southeast,South Florida,South Florida,Deerfield Beach,FL,Clinical Infrastructure,CI-Healthcare Provider,Outpatient Healthcare,0.0,114000.0
PROJECT_0565,,,,Westminster,CO,Clinical Infrastructure,,Outpatient Healthcare,111522.0,168000.0
PROJECT_0532,Northeast,Boston,Boston,,,Academic Institutions,,Sports and Athletics,160000.0,190000.0
PROJECT_0117,Southwest,San Diego,San Diego,La Mesa,CA,Clinical Infrastructure,,Hospitals,0.0,350000.0
PROJECT_0316,Northeast,DC - Baltimore,Washington DC,,,Advanced Systems & Innovation,,Mission Critical,17550930.0,20.0
PROJECT_0268,Central,Dallas FTW,Dallas FTW,Coppell,TX,Biomedical Facilities,BF-Biotech/Pharmaceutical,Biopharm Manufacturing,311626.0,18000.0
PROJECT_0279,Central,Dallas FTW,Dallas FTW,Garland,TX,Advanced Systems & Innovation,,Mission Critical,0.0,5000.0
PROJECT_0029,Northwest,Bay Area,Silicon Valley,Foster City,CA,Other,OTH-Automotive/Transportation,Advanced Manufacturing,389025.0,880.0
PROJECT_0086,Southwest,San Diego,San Diego,,CA,Biomedical Facilities,,Other,8243284.0,1046120.0
PROJECT_0279,Central,Dallas FTW,Dallas FTW,Garland,TX,Advanced Systems & Innovation,ASI-Internet & Telecom,Mission Critical,665831.0,5000.0
PROJECT_0280,Central,Dallas FTW,Dallas FTW,Plano,TX,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,70154014.56,127051.0
PROJECT_0154,Southwest,SoCal,Newport Beach,Pasadena,CA,Biomedical Facilities,BF-Biotech/Pharmaceutical,R&amp;D Building (Laboratories),492000.0,
PROJECT_0340,Northeast,Richmond,Richmond,Chester,VA,Advanced Systems & Innovation,ASI-Internet & Telecom,Mission Critical,337878433.0,150000.0
PROJECT_0520,Northeast,Boston,Boston,,,Clinical Infrastructure,,Outpatient Healthcare,159727.0,45000.0
PROJECT_0188,Southwest,Arizona,Phoenix,Phoenix,AZ,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,316665.0,60380.0
PROJECT_0090,Southwest,San Diego,San Diego,,,Biomedical Facilities,,R&amp;D Building (Laboratories),320000.0,385000.0
PROJECT_0010,Northwest,Bay Area,Silicon Valley,Castro Valley,CA,Clinical Infrastructure,,Hospitals,0.0,1000.0
PROJECT_0550,Northwest,Pacific Northwest,Seattle,Redmond,WA,Other,OTH-Retail,Office,779256.0,15000.0
PROJECT_0561,,,Denver (D8-B),Denver,CO,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,0.0,14800.0
PROJECT_0004,Northwest,Bay Area,Silicon Valley,Castro Valley,CA,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,461782.0,3000.0
PROJECT_0157,Southwest,SoCal,Newport Beach,Los Angeles,CA,,CI-Healthcare Provider,,332133.97,
PROJECT_0342,Northeast,Richmond,Richmond,Richmond,VA,Corporate & Workplace,CW-3rd Party CMs,Mission Critical,7933874.38,5000.0
PROJECT_0199,Southwest,Arizona,Phoenix,Phoenix,AZ,Corporate & Workplace,CW-Professional Services,Office,20112101.0,110000.0
PROJECT_0198,Southwest,Arizona,Phoenix,Phoenix,AZ,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,855246.0,750.0
PROJECT_0467,Southeast,Charlotte-Greenville,Charlotte,Forest City,NC,Advanced Systems & Innovation,ASI-Enterprise Technologies,Mission Critical,442014.07,175000.0
PROJECT_0017,Northwest,Bay Area,Silicon Valley,San Francisco,CA,Advanced Systems & Innovation,ASI-Internet & Telecom,Office,0.0,583000.0
PROJECT_0547,Northwest,Pacific Northwest,Seattle,Seattle,WA,Biomedical Facilities,,R&amp;D Building (Laboratories),1104512.0,20000.0
PROJECT_0034,Northwest,Bay Area,Silicon Valley,,,Advanced Systems & Innovation,,Mission Critical,3492556.0,40000.0
PROJECT_0145,Southwest,SoCal,Newport Beach,Long Beach,CA,Clinical Infrastructure,,Hospitals,0.0,185000.0
PROJECT_0546,Northwest,Pacific Northwest,Seattle,Redmond,WA,Biomedical Facilities,BF-Biotech/Pharmaceutical,Biopharm Manufacturing,0.0,2030.0
PROJECT_0167,Southwest,SoCal,Newport Beach,Los Angeles,CA,Biomedical Facilities,,R&amp;D Building (Laboratories),0.0,144684.0
PROJECT_0271,Central,Dallas FTW,Dallas FTW,Garland,TX,Advanced Systems & Innovation,,Mission Critical,544968.0,0.0
PROJECT_0391,Southeast,South Florida,South Florida,Deerfield Beach,FL,Clinical Infrastructure,,Hospitals,2455827.0,25000.0
PROJECT_0415,Southeast,Raleigh-Durham,Raleigh-Durham,Sanford,NC,Biomedical Facilities,BF-Biotech/Pharmaceutical,Biopharm Manufacturing,1582115.0,7500.0
PROJECT_0074,Northwest,Sacramento,Sacramento,,,Clinical Infrastructure,,Outpatient Healthcare,6164661.0,182200.0
PROJECT_0193,Southwest,Arizona,Phoenix,Phoenix,AZ,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,1504868.0,1500.0
PROJECT_0220,Southwest,Arizona,Tucson,Tucson,AZ,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,0.0,4053.0
PROJECT_0115,Southwest,San Diego,San Diego,San Diego,CA,Clinical Infrastructure,,Outpatient Healthcare,0.0,3000.0
PROJECT_0331,Northeast,DC - Baltimore,Washington DC,,,Corporate & Workplace,,Office,3478879.0,55671.0
PROJECT_0491,Southeast,Nashville,Nashville,Springfield,TN,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,515247.0,11500.0
PROJECT_0369,,,,Fogelsville,PA,Biomedical Facilities,,Biopharm Manufacturing,0.0,
PROJECT_0486,Southeast,Nashville,Nashville,Nashville,TN,Corporate & Workplace,CW-Finance/Banking/Insurance,Office,42950650.0,277000.0
PROJECT_0397,Southeast,South Florida,South Florida,Coral Gables,FL,Academic Institutions,AI-Private,Sports and Athletics,27444674.0,54300.0
PROJECT_0354,Northeast,DC - Baltimore,Baltimore,Baltimore,MD,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,6631713.0,25000.0
PROJECT_0527,Northeast,Boston,Boston,Westborough,MA,Advanced Systems & Innovation,ASI-Consumer/Commercial Electronics,Office,3053779.0,10000.0
PROJECT_0057,Northwest,Bay Area,Silicon Valley,San Francisco,CA,Corporate & Workplace,CW-Professional Services,Office,522410.0,200000.0
PROJECT_0366,Northeast,DC - Baltimore,Baltimore,Glen Burnie,MD,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,284958.0,650.0
PROJECT_0213,Southwest,Arizona,Phoenix,Phoenix,AZ,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,0.0,5785.0
PROJECT_0291,Central,Dallas FTW,Dallas FTW,Carrollton,TX,Biomedical Facilities,,R&amp;D Building (Laboratories),112218.0,
PROJECT_0025,Northwest,Bay Area,Silicon Valley,Berkeley,CA,Biomedical Facilities,,Biopharm Manufacturing,0.0,2000.0
PROJECT_0318,Northeast,DC - Baltimore,Washington DC,Washington,DC,Academic Institutions,AI-Private,Education/Classroom Space,1839863.0,20000.0
PROJECT_0400,Southeast,South Florida,South Florida,Miami Beach,FL,Corporate & Workplace,CW-Finance/Banking/Insurance,Office,1954281.0,6994.0
PROJECT_0465,Southeast,Charlotte-Greenville,Charlotte,,,Academic Institutions,,Education/Classroom Space,391130.0,105000.0
PROJECT_0253,Central,Houston,Houston,Houston,TX,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,0.0,37000.0
PROJECT_0525,Northeast,Boston,Boston,Boston,MA,Clinical Infrastructure,CI-Healthcare Provider,Outpatient Healthcare,1736647.0,6600.0
PROJECT_0355,Northeast,DC - Baltimore,Baltimore,Baltimore,MD,Academic Institutions,AI-Public,Education/Classroom Space,3786999.0,11300.0
PROJECT_0483,Southeast,Charlotte-Greenville,Greenville,Aiken,SC,Advanced Systems & Innovation,ASI-Enterprise Technologies,Mission Critical,0.0,700000.0
PROJECT_0375,Southeast,Atlanta,Atlanta,Lithia Springs,GA,Advanced Systems & Innovation,ASI-Developer,Mission Critical,2154861.0,170000.0
PROJECT_0164,Southwest,SoCal,Newport Beach,Van Nuys,CA,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,0.0,11423.0
